 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -787 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -638 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -625 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -612 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -599 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -587 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -574 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -561 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -548 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -535 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -523 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -510 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -497 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -484 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -471 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -459 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -446 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -433 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -420 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -407 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -395 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -382 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -369 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -356 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -343 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -331 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -318 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -305 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -292 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -279 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -267 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -254 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -241 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -228 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -215 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -203 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -190 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -177 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -164 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -151 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -139 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -126 -384 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -113 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -100 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -87 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -75 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -62 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -49 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -36 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -23 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -11 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 2 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 15 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 28 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 41 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 50 -384 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -633 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -615 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -598 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -580 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -563 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -545 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -528 -525 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -510 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -493 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -475 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -458 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -440 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -423 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -405 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -388 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -370 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -353 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -335 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -318 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -300 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -283 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -265 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -248 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -230 -525 0,1
